"","artistic","conventional","enterprising","investigative","realisitc","social","income","link","full_title","career_cluster","career_pathway","soc","title","link2"
"1",100,0,33,11,72,39,28500,"https://www.onetonline.org/link/details/27-2031.00","27-2031.00 - Dancers","Arts, Audio/Video Technology & Communications","Performing Arts","27-2031.00","Dancers","https://www.onetonline.org/link/details/27-2031.00"
"2",95,11,61,6,28,33,34980,"https://www.onetonline.org/link/details/27-2011.00","27-2011.00 - Actors","Arts, Audio/Video Technology & Communications","Performing Arts","27-2011.00","Actors","https://www.onetonline.org/link/details/27-2011.00"
"3",100,0,56,0,11,28,53920,"https://www.onetonline.org/link/details/27-2042.01","27-2042.01 - Singers","Arts, Audio/Video Technology & Communications","Performing Arts","27-2042.00","Musicians and Singers","https://www.onetonline.org/link/details/27-2042.01"
"4",95,0,50,6,28,17,53920,"https://www.onetonline.org/link/details/27-2042.02","27-2042.02 - Musicians, Instrumental","Arts, Audio/Video Technology & Communications","Performing Arts","27-2042.00","Musicians and Singers","https://www.onetonline.org/link/details/27-2042.02"
"5",95,0,50,6,28,17,53920,"https://www.onetonline.org/link/details/27-2042.02","27-2042.02 - Musicians, Instrumental","Arts, Audio/Video Technology & Communications","Performing Arts","27-2042.02","Musicians, Instrumental","https://www.onetonline.org/link/details/27-2042.02"
"6",100,0,56,0,11,28,53920,"https://www.onetonline.org/link/details/27-2042.01","27-2042.01 - Singers","Arts, Audio/Video Technology & Communications","Performing Arts","27-2042.01","Singers","https://www.onetonline.org/link/details/27-2042.01"
"7",0,100,72,17,67,22,19820,"https://www.onetonline.org/link/details/39-3011.00","39-3011.00 - Gaming Dealers","Hospitality & Tourism","Recreation, Amusements & Attractions","39-3011.00","Gaming Dealers","https://www.onetonline.org/link/details/39-3011.00"
"8",6,95,50,0,78,39,20180,"https://www.onetonline.org/link/details/35-3021.00","35-3021.00 - Combined Food Preparation and Serving Workers, Including Fast Food","Hospitality & Tourism","Restaurants and Food/Beverage Services","35-3021.00","Combined Food Preparation and Serving Workers, Including Fast Food","https://www.onetonline.org/link/details/35-3021.00"
"9",0,50,50,0,78,45,20320,"https://www.onetonline.org/link/details/39-5093.00","39-5093.00 - Shampooers","Human Services","Personal Care Services","39-5093.00","Shampooers","https://www.onetonline.org/link/details/39-5093.00"
"10",6,67,61,0,56,67,20820,"https://www.onetonline.org/link/details/39-3031.00","39-3031.00 - Ushers, Lobby Attendants, and Ticket Takers","Hospitality & Tourism","Recreation, Amusements & Attractions","39-3031.00","Ushers, Lobby Attendants, and Ticket Takers","https://www.onetonline.org/link/details/39-3031.00"
"11",22,67,72,0,56,78,20820,"https://www.onetonline.org/link/details/35-3031.00","35-3031.00 - Waiters and Waitresses","Hospitality & Tourism","Restaurants and Food/Beverage Services","35-3031.00","Waiters and Waitresses","https://www.onetonline.org/link/details/35-3031.00"
"12",6,33,83,0,33,56,20930,"https://www.onetonline.org/link/details/35-9031.00","35-9031.00 - Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","Hospitality & Tourism","Restaurants and Food/Beverage Services","35-9031.00","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","https://www.onetonline.org/link/details/35-9031.00"
"13",6,95,56,0,28,28,21030,"https://www.onetonline.org/link/details/41-2011.00","41-2011.00 - Cashiers","Marketing","Professional Sales","41-2011.00","Cashiers","https://www.onetonline.org/link/details/41-2011.00"
"14",0,78,33,11,95,28,21040,"https://www.onetonline.org/link/details/35-2011.00","35-2011.00 - Cooks, Fast Food","Hospitality & Tourism","Restaurants and Food/Beverage Services","35-2011.00","Cooks, Fast Food","https://www.onetonline.org/link/details/35-2011.00"
"15",6,72,83,0,56,39,21060,"https://www.onetonline.org/link/details/39-3091.00","39-3091.00 - Amusement and Recreation Attendants","Hospitality & Tourism","Recreation, Amusements & Attractions","39-3091.00","Amusement and Recreation Attendants","https://www.onetonline.org/link/details/39-3091.00"
"16",0,61,28,6,100,45,21160,"https://www.onetonline.org/link/details/35-9011.00","35-9011.00 - Dining Room and Cafeteria Attendants and Bartender Helpers","Hospitality & Tourism","Restaurants and Food/Beverage Services","35-9011.00","Dining Room and Cafeteria Attendants and Bartender Helpers","https://www.onetonline.org/link/details/35-9011.00"
"17",39,61,61,0,61,45,21280,"https://www.onetonline.org/link/details/35-3022.01","35-3022.01 - Baristas","Hospitality & Tourism","Restaurants and Food/Beverage Services","35-3022.01","Baristas","https://www.onetonline.org/link/details/35-3022.01"
"18",6,17,45,0,78,72,21280,"https://www.onetonline.org/link/details/35-3022.00","35-3022.00 - Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","Hospitality & Tourism","Restaurants and Food/Beverage Services","35-3022.00","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","https://www.onetonline.org/link/details/35-3022.00"
"19",0,28,33,28,89,83,21290,"https://www.onetonline.org/link/details/33-9092.00","33-9092.00 - Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Law, Public Safety, Corrections & Security","Security & Protective Services","33-9092.00","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","https://www.onetonline.org/link/details/33-9092.00"
"20",0,50,22,6,100,6,21500,"https://www.onetonline.org/link/details/35-9021.00","35-9021.00 - Dishwashers","Hospitality & Tourism","Restaurants and Food/Beverage Services","35-9021.00","Dishwashers","https://www.onetonline.org/link/details/35-9021.00"
"21",17,78,78,6,56,45,21690,"https://www.onetonline.org/link/details/35-3011.00","35-3011.00 - Bartenders","Hospitality & Tourism","Restaurants and Food/Beverage Services","35-3011.00","Bartenders","https://www.onetonline.org/link/details/35-3011.00"
"22",6,67,11,33,95,0,22050,"https://www.onetonline.org/link/details/39-3021.00","39-3021.00 - Motion Picture Projectionists","Hospitality & Tourism","Recreation, Amusements & Attractions","39-3021.00","Motion Picture Projectionists","https://www.onetonline.org/link/details/39-3021.00"
"23",67,39,33,11,28,100,22290,"https://www.onetonline.org/link/details/39-9011.00","39-9011.00 - Childcare Workers","Human Services","Early Childhood Development & Services","39-9011.00","Childcare Workers","https://www.onetonline.org/link/details/39-9011.00"
"24",50,50,50,6,28,100,22290,"https://www.onetonline.org/link/details/39-9011.01","39-9011.01 - Nannies","Human Services","Early Childhood Development & Services","39-9011.01","Nannies","https://www.onetonline.org/link/details/39-9011.01"
"25",6,28,50,0,56,89,22320,"https://www.onetonline.org/link/details/35-3041.00","35-3041.00 - Food Servers, Nonrestaurant","Hospitality & Tourism","Restaurants and Food/Beverage Services","35-3041.00","Food Servers, Nonrestaurant","https://www.onetonline.org/link/details/35-3041.00"
"26",0,39,22,6,89,6,22370,"https://www.onetonline.org/link/details/51-6011.00","51-6011.00 - Laundry and Dry-Cleaning Workers","Human Services","Personal Care Services","51-6011.00","Laundry and Dry-Cleaning Workers","https://www.onetonline.org/link/details/51-6011.00"
"27",22,72,17,28,100,6,22440,"https://www.onetonline.org/link/details/51-6021.00","51-6021.00 - Pressers, Textile, Garment, and Related Materials","Human Services","Personal Care Services","51-6021.00","Pressers, Textile, Garment, and Related Materials","https://www.onetonline.org/link/details/51-6021.00"
"28",6,83,28,11,95,28,22730,"https://www.onetonline.org/link/details/35-2021.00","35-2021.00 - Food Preparation Workers","Hospitality & Tourism","Restaurants and Food/Beverage Services","35-2021.00","Food Preparation Workers","https://www.onetonline.org/link/details/35-2021.00"
"29",17,78,33,0,95,28,22740,"https://www.onetonline.org/link/details/35-2015.00","35-2015.00 - Cooks, Short Order","Hospitality & Tourism","Restaurants and Food/Beverage Services","35-2015.00","Cooks, Short Order","https://www.onetonline.org/link/details/35-2015.00"
"30",0,78,39,0,95,28,22810,"https://www.onetonline.org/link/details/53-6021.00","53-6021.00 - Parking Lot Attendants","Transportation, Distribution & Logistics","Sales and Service","53-6021.00","Parking Lot Attendants","https://www.onetonline.org/link/details/53-6021.00"
"31",6,39,56,0,22,89,22830,"https://www.onetonline.org/link/details/39-3093.00","39-3093.00 - Locker Room, Coatroom, and Dressing Room Attendants","Human Services","Personal Care Services","39-3093.00","Locker Room, Coatroom, and Dressing Room Attendants","https://www.onetonline.org/link/details/39-3093.00"
"32",6,83,72,0,22,50,22850,"https://www.onetonline.org/link/details/43-4081.00","43-4081.00 - Hotel, Motel, and Resort Desk Clerks","Hospitality & Tourism","Lodging","43-4081.00","Hotel, Motel, and Resort Desk Clerks","https://www.onetonline.org/link/details/43-4081.00"
"33",0,67,22,6,95,33,22860,"https://www.onetonline.org/link/details/37-2012.00","37-2012.00 - Maids and Housekeeping Cleaners","Hospitality & Tourism","Lodging","37-2012.00","Maids and Housekeeping Cleaners","https://www.onetonline.org/link/details/37-2012.00"
"34",89,28,72,0,61,6,22900,"https://www.onetonline.org/link/details/41-9012.00","41-9012.00 - Models","Marketing","Merchandising","41-9012.00","Models","https://www.onetonline.org/link/details/41-9012.00"
"35",0,72,33,22,95,39,22950,"https://www.onetonline.org/link/details/39-2021.00","39-2021.00 - Nonfarm Animal Caretakers","Agriculture, Food & Natural Resources","Animal Systems","39-2021.00","Nonfarm Animal Caretakers","https://www.onetonline.org/link/details/39-2021.00"
"36",6,56,22,11,72,100,23100,"https://www.onetonline.org/link/details/39-9021.00","39-9021.00 - Personal Care Aides","Human Services","Personal Care Services","39-9021.00","Personal Care Aides","https://www.onetonline.org/link/details/39-9021.00"
"37",17,28,22,17,67,100,23210,"https://www.onetonline.org/link/details/31-1011.00","31-1011.00 - Home Health Aides","Health Science","Therapeutic Services","31-1011.00","Home Health Aides","https://www.onetonline.org/link/details/31-1011.00"
"38",11,50,100,0,28,39,23210,"https://www.onetonline.org/link/details/41-2031.00","41-2031.00 - Retail Salespersons","Marketing","Professional Sales","41-2031.00","Retail Salespersons","https://www.onetonline.org/link/details/41-2031.00"
"39",0,56,33,0,100,39,23230,"https://www.onetonline.org/link/details/39-6011.00","39-6011.00 - Baggage Porters and Bellhops","Hospitality & Tourism","Lodging","39-6011.00","Baggage Porters and Bellhops","https://www.onetonline.org/link/details/39-6011.00"
"40",22,56,67,0,78,56,23230,"https://www.onetonline.org/link/details/39-5092.00","39-5092.00 - Manicurists and Pedicurists","Human Services","Personal Care Services","39-5092.00","Manicurists and Pedicurists","https://www.onetonline.org/link/details/39-5092.00"
"41",6,78,11,33,83,0,23340,"https://www.onetonline.org/link/details/45-2041.00","45-2041.00 - Graders and Sorters, Agricultural Products","Agriculture, Food & Natural Resources","Food Products and Processing Systems","45-2041.00","Graders and Sorters, Agricultural Products","https://www.onetonline.org/link/details/45-2041.00"
"42",0,39,17,6,95,6,23360,"https://www.onetonline.org/link/details/53-7061.00","53-7061.00 - Cleaners of Vehicles and Equipment","Transportation, Distribution & Logistics","Facility and Mobile Equipment Maintenance","53-7061.00","Cleaners of Vehicles and Equipment","https://www.onetonline.org/link/details/53-7061.00"
"43",0,17,0,6,100,0,23380,"https://www.onetonline.org/link/details/45-2092.02","45-2092.02 - Farmworkers and Laborers, Crop","Agriculture, Food & Natural Resources","Plant Systems","45-2092.02","Farmworkers and Laborers, Crop","https://www.onetonline.org/link/details/45-2092.02"
"44",0,17,6,6,100,0,23380,"https://www.onetonline.org/link/details/45-2092.01","45-2092.01 - Nursery Workers","Agriculture, Food & Natural Resources","Plant Systems","45-2092.00","Farmworkers and Laborers, Crop, Nursery, and Greenhouse","https://www.onetonline.org/link/details/45-2092.01"
"45",0,17,0,6,100,0,23380,"https://www.onetonline.org/link/details/45-2092.02","45-2092.02 - Farmworkers and Laborers, Crop","Agriculture, Food & Natural Resources","Plant Systems","45-2092.00","Farmworkers and Laborers, Crop, Nursery, and Greenhouse","https://www.onetonline.org/link/details/45-2092.02"
"46",0,17,6,6,100,0,23380,"https://www.onetonline.org/link/details/45-2092.01","45-2092.01 - Nursery Workers","Agriculture, Food & Natural Resources","Plant Systems","45-2092.01","Nursery Workers","https://www.onetonline.org/link/details/45-2092.01"
"47",0,61,22,22,100,39,23390,"https://www.onetonline.org/link/details/53-6031.00","53-6031.00 - Automotive and Watercraft Service Attendants","Transportation, Distribution & Logistics","Facility and Mobile Equipment Maintenance","53-6031.00","Automotive and Watercraft Service Attendants","https://www.onetonline.org/link/details/53-6031.00"
"48",0,28,17,0,95,0,23430,"https://www.onetonline.org/link/details/53-7064.00","53-7064.00 - Packers and Packagers, Hand","Transportation, Distribution & Logistics","Transportation Operations","53-7064.00","Packers and Packagers, Hand","https://www.onetonline.org/link/details/53-7064.00"
"49",22,61,100,0,33,33,23810,"https://www.onetonline.org/link/details/41-9091.00","41-9091.00 - Door-To-Door Sales Workers, News and Street Vendors, and Related Workers","Marketing","Professional Sales","41-9091.00","Door-To-Door Sales Workers, News and Street Vendors, and Related Workers","https://www.onetonline.org/link/details/41-9091.00"
"50",0,95,61,0,39,17,23910,"https://www.onetonline.org/link/details/41-2012.00","41-2012.00 - Gaming Change Persons and Booth Cashiers","Hospitality & Tourism","Recreation, Amusements & Attractions","41-2012.00","Gaming Change Persons and Booth Cashiers","https://www.onetonline.org/link/details/41-2012.00"
"51",6,95,72,0,56,33,24030,"https://www.onetonline.org/link/details/39-3012.00","39-3012.00 - Gaming and Sports Book Writers and Runners","Hospitality & Tourism","Recreation, Amusements & Attractions","39-3012.00","Gaming and Sports Book Writers and Runners","https://www.onetonline.org/link/details/39-3012.00"
"52",6,39,78,0,83,22,24040,"https://www.onetonline.org/link/details/53-3031.00","53-3031.00 - Driver/Sales Workers","Marketing","Professional Sales","53-3031.00","Driver/Sales Workers","https://www.onetonline.org/link/details/53-3031.00"
"53",6,33,39,11,100,78,24260,"https://www.onetonline.org/link/details/53-3011.00","53-3011.00 - Ambulance Drivers and Attendants, Except Emergency Medical Technicians","Transportation, Distribution & Logistics","Transportation Operations","53-3011.00","Ambulance Drivers and Attendants, Except Emergency Medical Technicians","https://www.onetonline.org/link/details/53-3011.00"
"54",11,50,11,6,95,0,24320,"https://www.onetonline.org/link/details/51-6031.00","51-6031.00 - Sewing Machine Operators","Manufacturing","Production","51-6031.00","Sewing Machine Operators","https://www.onetonline.org/link/details/51-6031.00"
"55",6,78,100,0,39,22,24460,"https://www.onetonline.org/link/details/41-9041.00","41-9041.00 - Telemarketers","Marketing","Professional Sales","41-9041.00","Telemarketers","https://www.onetonline.org/link/details/41-9041.00"
"56",0,72,28,0,61,0,24470,"https://www.onetonline.org/link/details/43-5081.02","43-5081.02 - Marking Clerks","Business Management & Administration","Administrative Support","43-5081.02","Marking Clerks","https://www.onetonline.org/link/details/43-5081.02"
"57",0,100,39,11,72,17,24470,"https://www.onetonline.org/link/details/43-5081.04","43-5081.04 - Order Fillers, Wholesale and Retail Sales","Business Management & Administration","Administrative Support","43-5081.04","Order Fillers, Wholesale and Retail Sales","https://www.onetonline.org/link/details/43-5081.04"
"58",6,83,61,6,72,28,24470,"https://www.onetonline.org/link/details/43-5081.01","43-5081.01 - Stock Clerks, Sales Floor","Business Management & Administration","Administrative Support","43-5081.00","Stock Clerks and Order Fillers","https://www.onetonline.org/link/details/43-5081.01"
"59",0,72,28,0,61,0,24470,"https://www.onetonline.org/link/details/43-5081.02","43-5081.02 - Marking Clerks","Business Management & Administration","Administrative Support","43-5081.00","Stock Clerks and Order Fillers","https://www.onetonline.org/link/details/43-5081.02"
"60",0,89,28,0,89,6,24470,"https://www.onetonline.org/link/details/43-5081.03","43-5081.03 - Stock Clerks- Stockroom, Warehouse, or Storage Yard","Business Management & Administration","Administrative Support","43-5081.00","Stock Clerks and Order Fillers","https://www.onetonline.org/link/details/43-5081.03"
"61",0,100,39,11,72,17,24470,"https://www.onetonline.org/link/details/43-5081.04","43-5081.04 - Order Fillers, Wholesale and Retail Sales","Business Management & Administration","Administrative Support","43-5081.00","Stock Clerks and Order Fillers","https://www.onetonline.org/link/details/43-5081.04"
"62",6,83,61,6,72,28,24470,"https://www.onetonline.org/link/details/43-5081.01","43-5081.01 - Stock Clerks, Sales Floor","Business Management & Administration","Administrative Support","43-5081.01","Stock Clerks, Sales Floor","https://www.onetonline.org/link/details/43-5081.01"
"63",0,89,28,0,89,6,24470,"https://www.onetonline.org/link/details/43-5081.03","43-5081.03 - Stock Clerks- Stockroom, Warehouse, or Storage Yard","Business Management & Administration","Administrative Support","43-5081.03","Stock Clerks- Stockroom, Warehouse, or Storage Yard","https://www.onetonline.org/link/details/43-5081.03"
"64",56,22,78,0,45,89,24540,"https://www.onetonline.org/link/details/39-9032.00","39-9032.00 - Recreation Workers","Hospitality & Tourism","Recreation, Amusements & Attractions","39-9032.00","Recreation Workers","https://www.onetonline.org/link/details/39-9032.00"
"65",89,39,72,6,56,61,24850,"https://www.onetonline.org/link/details/39-5012.00","39-5012.00 - Hairdressers, Hairstylists, and Cosmetologists","Human Services","Personal Care Services","39-5012.00","Hairdressers, Hairstylists, and Cosmetologists","https://www.onetonline.org/link/details/39-5012.00"
"66",0,28,67,6,78,33,24880,"https://www.onetonline.org/link/details/53-3041.00","53-3041.00 - Taxi Drivers and Chauffeurs","Transportation, Distribution & Logistics","Transportation Operations","53-3041.00","Taxi Drivers and Chauffeurs","https://www.onetonline.org/link/details/53-3041.00"
"67",0,45,28,0,95,6,24990,"https://www.onetonline.org/link/details/37-2011.00","37-2011.00 - Janitors and Cleaners, Except Maids and Housekeeping Cleaners","Hospitality & Tourism","Lodging","37-2011.00","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","https://www.onetonline.org/link/details/37-2011.00"
"68",17,28,56,0,56,89,25050,"https://www.onetonline.org/link/details/39-4021.00","39-4021.00 - Funeral Attendants","Human Services","Personal Care Services","39-4021.00","Funeral Attendants","https://www.onetonline.org/link/details/39-4021.00"
"69",39,39,50,6,95,22,25180,"https://www.onetonline.org/link/details/35-2014.00","35-2014.00 - Cooks, Restaurant","Hospitality & Tourism","Restaurants and Food/Beverage Services","35-2014.00","Cooks, Restaurant","https://www.onetonline.org/link/details/35-2014.00"
"70",0,17,6,6,100,0,25250,"https://www.onetonline.org/link/details/51-3022.00","51-3022.00 - Meat, Poultry, and Fish Cutters and Trimmers","Manufacturing","Production","51-3022.00","Meat, Poultry, and Fish Cutters and Trimmers","https://www.onetonline.org/link/details/51-3022.00"
"71",0,22,6,6,100,0,25470,"https://www.onetonline.org/link/details/45-2093.00","45-2093.00 - Farmworkers, Farm, Ranch, and Aquacultural Animals","Agriculture, Food & Natural Resources","Animal Systems","45-2093.00","Farmworkers, Farm, Ranch, and Aquacultural Animals","https://www.onetonline.org/link/details/45-2093.00"
"72",50,61,11,11,100,11,25610,"https://www.onetonline.org/link/details/51-6041.00","51-6041.00 - Shoe and Leather Workers and Repairers","Manufacturing","Production","51-6041.00","Shoe and Leather Workers and Repairers","https://www.onetonline.org/link/details/51-6041.00"
"73",45,33,100,45,0,61,25630,"https://www.onetonline.org/link/details/11-1031.00","11-1031.00 - Legislators","Government & Public Administration","Governance","11-1031.00","Legislators","https://www.onetonline.org/link/details/11-1031.00"
"74",22,56,56,11,83,39,25650,"https://www.onetonline.org/link/details/39-5011.00","39-5011.00 - Barbers","Human Services","Personal Care Services","39-5011.00","Barbers","https://www.onetonline.org/link/details/39-5011.00"
"75",22,50,33,6,95,0,25690,"https://www.onetonline.org/link/details/51-3011.00","51-3011.00 - Bakers","Hospitality & Tourism","Restaurants and Food/Beverage Services","51-3011.00","Bakers","https://www.onetonline.org/link/details/51-3011.00"
"76",6,28,22,11,78,95,25730,"https://www.onetonline.org/link/details/31-2022.00","31-2022.00 - Physical Therapist Aides","Health Science","Therapeutic Services","31-2022.00","Physical Therapist Aides","https://www.onetonline.org/link/details/31-2022.00"
"77",28,6,61,6,22,95,25770,"https://www.onetonline.org/link/details/39-7011.00","39-7011.00 - Tour Guides and Escorts","Hospitality & Tourism","Travel & Tourism","39-7011.00","Tour Guides and Escorts","https://www.onetonline.org/link/details/39-7011.00"
"78",28,78,89,17,33,50,25770,"https://www.onetonline.org/link/details/39-7012.00","39-7012.00 - Travel Guides","Hospitality & Tourism","Travel & Tourism","39-7012.00","Travel Guides","https://www.onetonline.org/link/details/39-7012.00"
"79",0,100,28,11,72,50,25810,"https://www.onetonline.org/link/details/43-4121.00","43-4121.00 - Library Assistants, Clerical","Business Management & Administration","Administrative Support","43-4121.00","Library Assistants, Clerical","https://www.onetonline.org/link/details/43-4121.00"
"80",6,78,67,0,22,28,25820,"https://www.onetonline.org/link/details/41-2021.00","41-2021.00 - Counter and Rental Clerks","Marketing","Professional Sales","41-2021.00","Counter and Rental Clerks","https://www.onetonline.org/link/details/41-2021.00"
"81",28,78,45,0,83,45,25860,"https://www.onetonline.org/link/details/35-2012.00","35-2012.00 - Cooks, Institution and Cafeteria","Hospitality & Tourism","Restaurants and Food/Beverage Services","35-2012.00","Cooks, Institution and Cafeteria","https://www.onetonline.org/link/details/35-2012.00"
"82",6,67,6,33,100,6,26070,"https://www.onetonline.org/link/details/51-9198.00","51-9198.00 - Helpers--Production Workers","Manufacturing","Production","51-9198.00","Helpers--Production Workers","https://www.onetonline.org/link/details/51-9198.00"
"83",0,100,39,28,61,39,26120,"https://www.onetonline.org/link/details/31-9095.00","31-9095.00 - Pharmacy Aides","Health Science","Support Services","31-9095.00","Pharmacy Aides","https://www.onetonline.org/link/details/31-9095.00"
"84",17,28,17,50,95,56,26140,"https://www.onetonline.org/link/details/31-9096.00","31-9096.00 - Veterinary Assistants and Laboratory Animal Caretakers","Health Science","Support Services","31-9096.00","Veterinary Assistants and Laboratory Animal Caretakers","https://www.onetonline.org/link/details/31-9096.00"
"85",67,61,11,11,83,6,26230,"https://www.onetonline.org/link/details/51-6051.00","51-6051.00 - Sewers, Hand","Manufacturing","Production","51-6051.00","Sewers, Hand","https://www.onetonline.org/link/details/51-6051.00"
"86",45,72,33,28,0,100,26260,"https://www.onetonline.org/link/details/25-9041.00","25-9041.00 - Teacher Assistants","Education & Training","Teaching/Training","25-9041.00","Teacher Assistants","https://www.onetonline.org/link/details/25-9041.00"
"87",0,100,61,6,50,28,26320,"https://www.onetonline.org/link/details/43-3041.00","43-3041.00 - Gaming Cage Workers","Hospitality & Tourism","Recreation, Amusements & Attractions","43-3041.00","Gaming Cage Workers","https://www.onetonline.org/link/details/43-3041.00"
"88",89,28,67,0,56,22,26350,"https://www.onetonline.org/link/details/27-1023.00","27-1023.00 - Floral Designers","Arts, Audio/Video Technology & Communications","Visual Arts","27-1023.00","Floral Designers","https://www.onetonline.org/link/details/27-1023.00"
"89",11,22,28,56,50,89,26500,"https://www.onetonline.org/link/details/29-2051.00","29-2051.00 - Dietetic Technicians","Health Science","Therapeutic Services","29-2051.00","Dietetic Technicians","https://www.onetonline.org/link/details/29-2051.00"
"90",0,50,17,33,100,17,26710,"https://www.onetonline.org/link/details/49-3093.00","49-3093.00 - Tire Repairers and Changers","Transportation, Distribution & Logistics","Facility and Mobile Equipment Maintenance","49-3093.00","Tire Repairers and Changers","https://www.onetonline.org/link/details/49-3093.00"
"91",6,56,83,11,83,33,26800,"https://www.onetonline.org/link/details/27-2023.00","27-2023.00 - Umpires, Referees, and Other Sports Officials","Hospitality & Tourism","Recreation, Amusements & Attractions","27-2023.00","Umpires, Referees, and Other Sports Officials","https://www.onetonline.org/link/details/27-2023.00"
"92",28,61,72,6,22,95,26830,"https://www.onetonline.org/link/details/39-9041.00","39-9041.00 - Residential Advisors","Human Services","Personal Care Services","39-9041.00","Residential Advisors","https://www.onetonline.org/link/details/39-9041.00"
"93",0,28,6,6,100,0,26890,"https://www.onetonline.org/link/details/51-6062.00","51-6062.00 - Textile Cutting Machine Setters, Operators, and Tenders","Manufacturing","Production","51-6062.00","Textile Cutting Machine Setters, Operators, and Tenders","https://www.onetonline.org/link/details/51-6062.00"
"94",6,72,56,22,100,39,26900,"https://www.onetonline.org/link/details/33-9032.00","33-9032.00 - Security Guards","Law, Public Safety, Corrections & Security","Security & Protective Services","33-9032.00","Security Guards","https://www.onetonline.org/link/details/33-9032.00"
"95",0,22,11,0,100,0,27040,"https://www.onetonline.org/link/details/53-7062.00","53-7062.00 - Laborers and Freight, Stock, and Material Movers, Hand","Transportation, Distribution & Logistics","Transportation Operations","53-7062.00","Laborers and Freight, Stock, and Material Movers, Hand","https://www.onetonline.org/link/details/53-7062.00"
"96",17,67,100,0,45,28,27060,"https://www.onetonline.org/link/details/41-9011.00","41-9011.00 - Demonstrators and Product Promoters","Marketing","Professional Sales","41-9011.00","Demonstrators and Product Promoters","https://www.onetonline.org/link/details/41-9011.00"
"97",22,61,17,22,61,100,27110,"https://www.onetonline.org/link/details/31-1013.00","31-1013.00 - Psychiatric Aides","Health Science","Therapeutic Services","31-1013.00","Psychiatric Aides","https://www.onetonline.org/link/details/31-1013.00"
"98",0,89,6,0,72,39,27180,"https://www.onetonline.org/link/details/31-1015.00","31-1015.00 - Orderlies","Health Science","Support Services","31-1015.00","Orderlies","https://www.onetonline.org/link/details/31-1015.00"
"99",0,28,11,6,100,0,27420,"https://www.onetonline.org/link/details/51-6042.00","51-6042.00 - Shoe Machine Operators and Tenders","Manufacturing","Production","51-6042.00","Shoe Machine Operators and Tenders","https://www.onetonline.org/link/details/51-6042.00"
"100",28,89,17,17,56,17,27480,"https://www.onetonline.org/link/details/51-9151.00","51-9151.00 - Photographic Process Workers and Processing Machine Operators","Manufacturing","Production","51-9151.00","Photographic Process Workers and Processing Machine Operators","https://www.onetonline.org/link/details/51-9151.00"
"101",6,78,11,11,56,95,27520,"https://www.onetonline.org/link/details/31-1014.00","31-1014.00 - Nursing Assistants","Health Science","Therapeutic Services","31-1014.00","Nursing Assistants","https://www.onetonline.org/link/details/31-1014.00"
"102",11,67,28,17,100,0,27530,"https://www.onetonline.org/link/details/51-3023.00","51-3023.00 - Slaughterers and Meat Packers","Manufacturing","Production","51-3023.00","Slaughterers and Meat Packers","https://www.onetonline.org/link/details/51-3023.00"
"103",6,17,72,0,50,78,27630,"https://www.onetonline.org/link/details/33-9091.00","33-9091.00 - Crossing Guards","Law, Public Safety, Corrections & Security","Security & Protective Services","33-9091.00","Crossing Guards","https://www.onetonline.org/link/details/33-9091.00"
"104",6,61,33,45,100,11,27650,"https://www.onetonline.org/link/details/45-4011.00","45-4011.00 - Forest and Conservation Workers","Agriculture, Food & Natural Resources","Natural Resources Systems","45-4011.00","Forest and Conservation Workers","https://www.onetonline.org/link/details/45-4011.00"
"105",33,56,28,33,100,6,27670,"https://www.onetonline.org/link/details/37-3011.00","37-3011.00 - Landscaping and Groundskeeping Workers","Architecture & Construction","Maintenance/Operations","37-3011.00","Landscaping and Groundskeeping Workers","https://www.onetonline.org/link/details/37-3011.00"
"106",83,17,72,11,67,11,27680,"https://www.onetonline.org/link/details/27-1026.00","27-1026.00 - Merchandise Displayers and Window Trimmers","Marketing","Merchandising","27-1026.00","Merchandise Displayers and Window Trimmers","https://www.onetonline.org/link/details/27-1026.00"
"107",6,56,61,0,61,61,27830,"https://www.onetonline.org/link/details/53-6061.00","53-6061.00 - Transportation Attendants, Except Flight Attendants","Transportation, Distribution & Logistics","Transportation Operations","53-6061.00","Transportation Attendants, Except Flight Attendants","https://www.onetonline.org/link/details/53-6061.00"
"108",22,67,28,6,100,6,27960,"https://www.onetonline.org/link/details/51-6063.00","51-6063.00 - Textile Knitting and Weaving Machine Setters, Operators, and Tenders","Manufacturing","Production","51-6063.00","Textile Knitting and Weaving Machine Setters, Operators, and Tenders","https://www.onetonline.org/link/details/51-6063.00"
"109",0,95,61,6,28,17,28110,"https://www.onetonline.org/link/details/43-3071.00","43-3071.00 - Tellers","Finance","Banking Services","43-3071.00","Tellers","https://www.onetonline.org/link/details/43-3071.00"
"110",11,72,17,22,100,0,28210,"https://www.onetonline.org/link/details/51-9031.00","51-9031.00 - Cutters and Trimmers, Hand","Manufacturing","Production","51-9031.00","Cutters and Trimmers, Hand","https://www.onetonline.org/link/details/51-9031.00"
