"","artistic","conventional","enterprising","investigative","realisitc","social","income","link","full_title","career_cluster","career_pathway","soc","title","link2"
"304",0,50,17,22,95,17,38040,"https://www.onetonline.org/link/details/47-4099.02","47-4099.02 - Solar Thermal Installers and Technicians","Architecture & Construction","Maintenance/Operations","47-4099.02","Solar Thermal Installers and Technicians","https://www.onetonline.org/link/details/47-4099.02"
"305",0,50,28,28,95,22,38040,"https://www.onetonline.org/link/details/47-4099.03","47-4099.03 - Weatherization Installers and Technicians","Architecture & Construction","Maintenance/Operations","47-4099.03","Weatherization Installers and Technicians","https://www.onetonline.org/link/details/47-4099.03"
"306",0,67,28,56,100,11,38160,"https://www.onetonline.org/link/details/49-9031.00","49-9031.00 - Home Appliance Repairers","Manufacturing","Maintenance, Installation & Repair","49-9031.00","Home Appliance Repairers","https://www.onetonline.org/link/details/49-9031.00"
"307",0,33,11,17,100,0,38210,"https://www.onetonline.org/link/details/51-4052.00","51-4052.00 - Pourers and Casters, Metal","Manufacturing","Production","51-4052.00","Pourers and Casters, Metal","https://www.onetonline.org/link/details/51-4052.00"
"308",89,50,45,17,61,28,38280,"https://www.onetonline.org/link/details/35-2013.00","35-2013.00 - Cooks, Private Household","Hospitality & Tourism","Restaurants and Food/Beverage Services","35-2013.00","Cooks, Private Household","https://www.onetonline.org/link/details/35-2013.00"
"309",28,33,39,39,17,100,38370,"https://www.onetonline.org/link/details/21-1094.00","21-1094.00 - Community Health Workers","Human Services","Family & Community Services","21-1094.00","Community Health Workers","https://www.onetonline.org/link/details/21-1094.00"
"310",0,45,11,45,100,0,38390,"https://www.onetonline.org/link/details/45-4022.00","45-4022.00 - Logging Equipment Operators","Agriculture, Food & Natural Resources","Natural Resources Systems","45-4022.00","Logging Equipment Operators","https://www.onetonline.org/link/details/45-4022.00"
"311",0,22,22,6,100,6,38400,"https://www.onetonline.org/link/details/47-2151.00","47-2151.00 - Pipelayers","Architecture & Construction","Construction","47-2151.00","Pipelayers","https://www.onetonline.org/link/details/47-2151.00"
"312",72,17,50,28,11,100,38440,"https://www.onetonline.org/link/details/25-3021.00","25-3021.00 - Self-Enrichment Education Teachers","Education & Training","Teaching/Training","25-3021.00","Self-Enrichment Education Teachers","https://www.onetonline.org/link/details/25-3021.00"
"313",28,67,11,33,100,0,38450,"https://www.onetonline.org/link/details/51-2041.00","51-2041.00 - Structural Metal Fabricators and Fitters","Architecture & Construction","Construction","51-2041.00","Structural Metal Fabricators and Fitters","https://www.onetonline.org/link/details/51-2041.00"
"314",11,72,100,0,33,56,38550,"https://www.onetonline.org/link/details/41-1011.00","41-1011.00 - First-Line Supervisors of Retail Sales Workers","Marketing","Professional Sales","41-1011.00","First-Line Supervisors of Retail Sales Workers","https://www.onetonline.org/link/details/41-1011.00"
"315",17,56,6,61,100,0,38580,"https://www.onetonline.org/link/details/51-4034.00","51-4034.00 - Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Manufacturing","Production","51-4034.00","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","https://www.onetonline.org/link/details/51-4034.00"
"316",0,56,17,39,100,0,38650,"https://www.onetonline.org/link/details/51-4022.00","51-4022.00 - Forging Machine Setters, Operators, and Tenders, Metal and Plastic","Manufacturing","Production","51-4022.00","Forging Machine Setters, Operators, and Tenders, Metal and Plastic","https://www.onetonline.org/link/details/51-4022.00"
"317",17,56,11,67,89,28,38670,"https://www.onetonline.org/link/details/51-9081.00","51-9081.00 - Dental Laboratory Technicians","Manufacturing","Production","51-9081.00","Dental Laboratory Technicians","https://www.onetonline.org/link/details/51-9081.00"
"318",0,56,22,33,100,6,38700,"https://www.onetonline.org/link/details/47-4051.00","47-4051.00 - Highway Maintenance Workers","Architecture & Construction","Maintenance/Operations","47-4051.00","Highway Maintenance Workers","https://www.onetonline.org/link/details/47-4051.00"
"319",0,100,61,6,11,28,38730,"https://www.onetonline.org/link/details/13-2082.00","13-2082.00 - Tax Preparers","Finance","Business Finance","13-2082.00","Tax Preparers","https://www.onetonline.org/link/details/13-2082.00"
"320",0,95,61,17,0,33,38790,"https://www.onetonline.org/link/details/43-9041.01","43-9041.01 - Insurance Claims Clerks","Finance","Insurance","43-9041.00","Insurance Claims and Policy Processing Clerks","https://www.onetonline.org/link/details/43-9041.01"
"321",0,100,56,11,0,22,38790,"https://www.onetonline.org/link/details/43-9041.02","43-9041.02 - Insurance Policy Processing Clerks","Finance","Insurance","43-9041.00","Insurance Claims and Policy Processing Clerks","https://www.onetonline.org/link/details/43-9041.02"
"322",0,95,61,17,0,33,38790,"https://www.onetonline.org/link/details/43-9041.01","43-9041.01 - Insurance Claims Clerks","Finance","Insurance","43-9041.01","Insurance Claims Clerks","https://www.onetonline.org/link/details/43-9041.01"
"323",0,100,56,11,0,22,38790,"https://www.onetonline.org/link/details/43-9041.02","43-9041.02 - Insurance Policy Processing Clerks","Finance","Insurance","43-9041.02","Insurance Policy Processing Clerks","https://www.onetonline.org/link/details/43-9041.02"
"324",0,95,50,11,50,33,38790,"https://www.onetonline.org/link/details/43-5032.00","43-5032.00 - Dispatchers, Except Police, Fire, and Ambulance","Transportation, Distribution & Logistics","Logistics Planning and Management Services","43-5032.00","Dispatchers, Except Police, Fire, and Ambulance","https://www.onetonline.org/link/details/43-5032.00"
"325",0,50,22,22,95,6,38800,"https://www.onetonline.org/link/details/49-9099.01","49-9099.01 - Geothermal Technicians","Manufacturing","Maintenance, Installation & Repair","49-9099.01","Geothermal Technicians","https://www.onetonline.org/link/details/49-9099.01"
"326",0,50,22,22,95,6,38800,"https://www.onetonline.org/link/details/49-9099.01","49-9099.01 - Geothermal Technicians","Manufacturing","Maintenance, Installation & Repair","49-9099.00","Installation, Maintenance, and Repair Workers, All Other","https://www.onetonline.org/link/details/49-9099.01"
"327",6,28,33,6,100,11,38830,"https://www.onetonline.org/link/details/47-2041.00","47-2041.00 - Carpet Installers","Architecture & Construction","Construction","47-2041.00","Carpet Installers","https://www.onetonline.org/link/details/47-2041.00"
"328",17,17,17,0,100,6,38940,"https://www.onetonline.org/link/details/47-2022.00","47-2022.00 - Stonemasons","Architecture & Construction","Construction","47-2022.00","Stonemasons","https://www.onetonline.org/link/details/47-2022.00"
"329",0,45,11,33,100,0,38960,"https://www.onetonline.org/link/details/49-3051.00","49-3051.00 - Motorboat Mechanics and Service Technicians","Transportation, Distribution & Logistics","Facility and Mobile Equipment Maintenance","49-3051.00","Motorboat Mechanics and Service Technicians","https://www.onetonline.org/link/details/49-3051.00"
"330",0,28,11,17,100,0,38970,"https://www.onetonline.org/link/details/47-2181.00","47-2181.00 - Roofers","Architecture & Construction","Construction","47-2181.00","Roofers","https://www.onetonline.org/link/details/47-2181.00"
"331",28,50,100,0,6,83,38980,"https://www.onetonline.org/link/details/21-2021.00","21-2021.00 - Directors, Religious Activities and Education","Human Services","Family & Community Services","21-2021.00","Directors, Religious Activities and Education","https://www.onetonline.org/link/details/21-2021.00"
"332",0,67,39,6,100,28,39030,"https://www.onetonline.org/link/details/33-3041.00","33-3041.00 - Parking Enforcement Workers","Law, Public Safety, Corrections & Security","Law Enforcement Services","33-3041.00","Parking Enforcement Workers","https://www.onetonline.org/link/details/33-3041.00"
"333",6,67,22,56,100,6,39040,"https://www.onetonline.org/link/details/51-9012.00","51-9012.00 - Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","Manufacturing","Production","51-9012.00","Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","https://www.onetonline.org/link/details/51-9012.00"
"334",11,72,17,56,100,11,39060,"https://www.onetonline.org/link/details/27-4012.00","27-4012.00 - Broadcast Technicians","Arts, Audio/Video Technology & Communications","Journalism and Broadcasting","27-4012.00","Broadcast Technicians","https://www.onetonline.org/link/details/27-4012.00"
"335",0,100,61,6,6,28,39060,"https://www.onetonline.org/link/details/43-4131.00","43-4131.00 - Loan Interviewers and Clerks","Finance","Banking Services","43-4131.00","Loan Interviewers and Clerks","https://www.onetonline.org/link/details/43-4131.00"
"336",0,28,22,0,100,0,39120,"https://www.onetonline.org/link/details/47-2071.00","47-2071.00 - Paving, Surfacing, and Tamping Equipment Operators","Architecture & Construction","Construction","47-2071.00","Paving, Surfacing, and Tamping Equipment Operators","https://www.onetonline.org/link/details/47-2071.00"
"337",0,100,45,0,17,22,39180,"https://www.onetonline.org/link/details/29-2071.00","29-2071.00 - Medical Records and Health Information Technicians","Health Science","Health Informatics","29-2071.00","Medical Records and Health Information Technicians","https://www.onetonline.org/link/details/29-2071.00"
"338",33,6,56,11,72,100,39210,"https://www.onetonline.org/link/details/39-9031.00","39-9031.00 - Fitness Trainers and Aerobics Instructors","Human Services","Personal Care Services","39-9031.00","Fitness Trainers and Aerobics Instructors","https://www.onetonline.org/link/details/39-9031.00"
"339",6,72,100,6,67,28,39230,"https://www.onetonline.org/link/details/37-1011.00","37-1011.00 - First-Line Supervisors of Housekeeping and Janitorial Workers","Hospitality & Tourism","Lodging","37-1011.00","First-Line Supervisors of Housekeeping and Janitorial Workers","https://www.onetonline.org/link/details/37-1011.00"
"340",0,28,11,11,100,0,39230,"https://www.onetonline.org/link/details/51-4011.00","51-4011.00 - Computer-Controlled Machine Tool Operators, Metal and Plastic","Manufacturing","Production","51-4011.00","Computer-Controlled Machine Tool Operators, Metal and Plastic","https://www.onetonline.org/link/details/51-4011.00"
"341",0,100,45,22,22,11,39240,"https://www.onetonline.org/link/details/43-3031.00","43-3031.00 - Bookkeeping, Accounting, and Auditing Clerks","Business Management & Administration","Administrative Support","43-3031.00","Bookkeeping, Accounting, and Auditing Clerks","https://www.onetonline.org/link/details/43-3031.00"
"342",0,100,28,11,72,28,39240,"https://www.onetonline.org/link/details/43-5041.00","43-5041.00 - Meter Readers, Utilities","Business Management & Administration","Administrative Support","43-5041.00","Meter Readers, Utilities","https://www.onetonline.org/link/details/43-5041.00"
"343",6,67,17,50,100,6,39340,"https://www.onetonline.org/link/details/49-3041.00","49-3041.00 - Farm Equipment Mechanics and Service Technicians","Agriculture, Food & Natural Resources","Power, Structural & Technical Systems","49-3041.00","Farm Equipment Mechanics and Service Technicians","https://www.onetonline.org/link/details/49-3041.00"
"344",89,33,56,50,11,28,39370,"https://www.onetonline.org/link/details/27-3022.00","27-3022.00 - Reporters and Correspondents","Arts, Audio/Video Technology & Communications","Journalism and Broadcasting","27-3022.00","Reporters and Correspondents","https://www.onetonline.org/link/details/27-3022.00"
"345",0,100,61,11,6,39,39480,"https://www.onetonline.org/link/details/43-4161.00","43-4161.00 - Human Resources Assistants, Except Payroll and Timekeeping","Business Management & Administration","Administrative Support","43-4161.00","Human Resources Assistants, Except Payroll and Timekeeping","https://www.onetonline.org/link/details/43-4161.00"
"346",6,50,11,28,95,11,39490,"https://www.onetonline.org/link/details/47-2231.00","47-2231.00 - Solar Photovoltaic Installers","Architecture & Construction","Construction","47-2231.00","Solar Photovoltaic Installers","https://www.onetonline.org/link/details/47-2231.00"
"347",0,28,22,22,100,0,39510,"https://www.onetonline.org/link/details/49-9011.00","49-9011.00 - Mechanical Door Repairers","Architecture & Construction","Maintenance/Operations","49-9011.00","Mechanical Door Repairers","https://www.onetonline.org/link/details/49-9011.00"
"348",0,33,33,45,100,6,39550,"https://www.onetonline.org/link/details/49-3023.01","49-3023.01 - Automotive Master Mechanics","Transportation, Distribution & Logistics","Facility and Mobile Equipment Maintenance","49-3023.01","Automotive Master Mechanics","https://www.onetonline.org/link/details/49-3023.01"
"349",0,33,33,45,100,6,39550,"https://www.onetonline.org/link/details/49-3023.01","49-3023.01 - Automotive Master Mechanics","Transportation, Distribution & Logistics","Facility and Mobile Equipment Maintenance","49-3023.00","Automotive Service Technicians and Mechanics","https://www.onetonline.org/link/details/49-3023.01"
"350",0,33,17,39,100,0,39550,"https://www.onetonline.org/link/details/49-3023.02","49-3023.02 - Automotive Specialty Technicians","Transportation, Distribution & Logistics","Facility and Mobile Equipment Maintenance","49-3023.00","Automotive Service Technicians and Mechanics","https://www.onetonline.org/link/details/49-3023.02"
"351",0,33,17,39,100,0,39550,"https://www.onetonline.org/link/details/49-3023.02","49-3023.02 - Automotive Specialty Technicians","Transportation, Distribution & Logistics","Facility and Mobile Equipment Maintenance","49-3023.02","Automotive Specialty Technicians","https://www.onetonline.org/link/details/49-3023.02"
"352",0,95,50,28,61,39,39640,"https://www.onetonline.org/link/details/43-5031.00","43-5031.00 - Police, Fire, and Ambulance Dispatchers","Law, Public Safety, Corrections & Security","Emergency and Fire Management Services","43-5031.00","Police, Fire, and Ambulance Dispatchers","https://www.onetonline.org/link/details/43-5031.00"
"353",33,33,11,67,6,95,39710,"https://www.onetonline.org/link/details/25-3099.02","25-3099.02 - Tutors","Education & Training","Teaching/Training","25-3099.00","Teachers and Instructors, All Other","https://www.onetonline.org/link/details/25-3099.02"
"354",33,33,11,67,6,95,39710,"https://www.onetonline.org/link/details/25-3099.02","25-3099.02 - Tutors","Education & Training","Teaching/Training","25-3099.02","Tutors","https://www.onetonline.org/link/details/25-3099.02"
"355",0,100,28,0,6,6,39740,"https://www.onetonline.org/link/details/43-9022.00","43-9022.00 - Word Processors and Typists","Business Management & Administration","Administrative Support","43-9022.00","Word Processors and Typists","https://www.onetonline.org/link/details/43-9022.00"
"356",0,56,22,67,89,6,39910,"https://www.onetonline.org/link/details/19-4011.01","19-4011.01 - Agricultural Technicians","Agriculture, Food & Natural Resources","Food Products and Processing Systems","19-4011.00","Agricultural and Food Science Technicians","https://www.onetonline.org/link/details/19-4011.01"
"357",11,67,11,67,78,0,39910,"https://www.onetonline.org/link/details/19-4011.02","19-4011.02 - Food Science Technicians","Agriculture, Food & Natural Resources","Food Products and Processing Systems","19-4011.00","Agricultural and Food Science Technicians","https://www.onetonline.org/link/details/19-4011.02"
"358",0,56,22,67,89,6,39910,"https://www.onetonline.org/link/details/19-4011.01","19-4011.01 - Agricultural Technicians","Agriculture, Food & Natural Resources","Food Products and Processing Systems","19-4011.01","Agricultural Technicians","https://www.onetonline.org/link/details/19-4011.01"
"359",11,67,11,67,78,0,39910,"https://www.onetonline.org/link/details/19-4011.02","19-4011.02 - Food Science Technicians","Agriculture, Food & Natural Resources","Food Products and Processing Systems","19-4011.02","Food Science Technicians","https://www.onetonline.org/link/details/19-4011.02"
"360",11,78,17,0,89,0,39910,"https://www.onetonline.org/link/details/51-5111.00","51-5111.00 - Prepress Technicians and Workers","Arts, Audio/Video Technology & Communications","Printing Technology","51-5111.00","Prepress Technicians and Workers","https://www.onetonline.org/link/details/51-5111.00"
"361",11,33,22,45,78,89,39990,"https://www.onetonline.org/link/details/31-9011.00","31-9011.00 - Massage Therapists","Human Services","Personal Care Services","31-9011.00","Massage Therapists","https://www.onetonline.org/link/details/31-9011.00"
"362",22,72,6,33,100,0,40040,"https://www.onetonline.org/link/details/47-2042.00","47-2042.00 - Floor Layers, Except Carpet, Wood, and Hard Tiles","Architecture & Construction","Construction","47-2042.00","Floor Layers, Except Carpet, Wood, and Hard Tiles","https://www.onetonline.org/link/details/47-2042.00"
"363",6,56,11,33,100,0,40230,"https://www.onetonline.org/link/details/51-9197.00","51-9197.00 - Tire Builders","Manufacturing","Production","51-9197.00","Tire Builders","https://www.onetonline.org/link/details/51-9197.00"
"364",0,17,6,11,100,0,40240,"https://www.onetonline.org/link/details/51-4121.07","51-4121.07 - Solderers and Brazers","Manufacturing","Production","51-4121.07","Solderers and Brazers","https://www.onetonline.org/link/details/51-4121.07"
"365",0,39,11,22,100,0,40240,"https://www.onetonline.org/link/details/51-4121.06","51-4121.06 - Welders, Cutters, and Welder Fitters","Manufacturing","Production","51-4121.06","Welders, Cutters, and Welder Fitters","https://www.onetonline.org/link/details/51-4121.06"
"366",0,39,11,22,100,0,40240,"https://www.onetonline.org/link/details/51-4121.06","51-4121.06 - Welders, Cutters, and Welder Fitters","Manufacturing","Production","51-4121.00","Welders, Cutters, Solderers, and Brazers","https://www.onetonline.org/link/details/51-4121.06"
"367",0,17,6,11,100,0,40240,"https://www.onetonline.org/link/details/51-4121.07","51-4121.07 - Solderers and Brazers","Manufacturing","Production","51-4121.00","Welders, Cutters, Solderers, and Brazers","https://www.onetonline.org/link/details/51-4121.07"
"368",61,45,17,6,78,0,40460,"https://www.onetonline.org/link/details/51-6092.00","51-6092.00 - Fabric and Apparel Patternmakers","Manufacturing","Production","51-6092.00","Fabric and Apparel Patternmakers","https://www.onetonline.org/link/details/51-6092.00"
"369",0,56,78,11,78,28,40580,"https://www.onetonline.org/link/details/33-9093.00","33-9093.00 - Transportation Security Screeners","Government & Public Administration","National Security","33-9093.00","Transportation Security Screeners","https://www.onetonline.org/link/details/33-9093.00"
"370",17,17,11,0,100,0,40590,"https://www.onetonline.org/link/details/47-2053.00","47-2053.00 - Terrazzo Workers and Finishers","Architecture & Construction","Construction","47-2053.00","Terrazzo Workers and Finishers","https://www.onetonline.org/link/details/47-2053.00"
"371",6,28,33,11,100,0,40650,"https://www.onetonline.org/link/details/47-2051.00","47-2051.00 - Cement Masons and Concrete Finishers","Architecture & Construction","Construction","47-2051.00","Cement Masons and Concrete Finishers","https://www.onetonline.org/link/details/47-2051.00"
"372",50,45,33,45,100,11,40670,"https://www.onetonline.org/link/details/25-4013.00","25-4013.00 - Museum Technicians and Conservators","Education & Training","Professional Support Services","25-4013.00","Museum Technicians and Conservators","https://www.onetonline.org/link/details/25-4013.00"
"373",0,45,22,11,100,11,40680,"https://www.onetonline.org/link/details/49-9094.00","49-9094.00 - Locksmiths and Safe Repairers","Manufacturing","Maintenance, Installation & Repair","49-9094.00","Locksmiths and Safe Repairers","https://www.onetonline.org/link/details/49-9094.00"
"374",0,39,17,17,100,0,40690,"https://www.onetonline.org/link/details/45-4021.00","45-4021.00 - Fallers","Agriculture, Food & Natural Resources","Natural Resources Systems","45-4021.00","Fallers","https://www.onetonline.org/link/details/45-4021.00"
"375",0,67,39,33,100,0,40730,"https://www.onetonline.org/link/details/53-5011.00","53-5011.00 - Sailors and Marine Oilers","Transportation, Distribution & Logistics","Transportation Operations","53-5011.00","Sailors and Marine Oilers","https://www.onetonline.org/link/details/53-5011.00"
"376",22,22,17,0,100,0,40750,"https://www.onetonline.org/link/details/47-2161.00","47-2161.00 - Plasterers and Stucco Masons","Architecture & Construction","Construction","47-2161.00","Plasterers and Stucco Masons","https://www.onetonline.org/link/details/47-2161.00"
"377",17,61,11,61,100,0,40770,"https://www.onetonline.org/link/details/49-9061.00","49-9061.00 - Camera and Photographic Equipment Repairers","Manufacturing","Maintenance, Installation & Repair","49-9061.00","Camera and Photographic Equipment Repairers","https://www.onetonline.org/link/details/49-9061.00"
"378",0,22,33,0,100,45,40780,"https://www.onetonline.org/link/details/53-3021.00","53-3021.00 - Bus Drivers, Transit and Intercity","Transportation, Distribution & Logistics","Transportation Operations","53-3021.00","Bus Drivers, Transit and Intercity","https://www.onetonline.org/link/details/53-3021.00"
"379",11,67,11,78,100,0,41300,"https://www.onetonline.org/link/details/51-4051.00","51-4051.00 - Metal-Refining Furnace Operators and Tenders","Manufacturing","Production","51-4051.00","Metal-Refining Furnace Operators and Tenders","https://www.onetonline.org/link/details/51-4051.00"
"380",0,45,22,33,95,11,41400,"https://www.onetonline.org/link/details/47-4041.00","47-4041.00 - Hazardous Materials Removal Workers","Agriculture, Food & Natural Resources","Environmental Service Systems","47-4041.00","Hazardous Materials Removal Workers","https://www.onetonline.org/link/details/47-4041.00"
"381",45,61,11,28,100,6,41680,"https://www.onetonline.org/link/details/47-2044.00","47-2044.00 - Tile and Marble Setters","Architecture & Construction","Construction","47-2044.00","Tile and Marble Setters","https://www.onetonline.org/link/details/47-2044.00"
"382",6,45,28,67,89,39,41800,"https://www.onetonline.org/link/details/29-2099.01","29-2099.01 - Neurodiagnostic Technologists","Health Science","Diagnostic Services","29-2099.00","Health Technologists and Technicians, All Other","https://www.onetonline.org/link/details/29-2099.01"
"383",6,56,45,50,50,39,41800,"https://www.onetonline.org/link/details/29-2099.05","29-2099.05 - Ophthalmic Medical Technologists","Health Science","Diagnostic Services","29-2099.00","Health Technologists and Technicians, All Other","https://www.onetonline.org/link/details/29-2099.05"
"384",6,50,33,33,89,45,41800,"https://www.onetonline.org/link/details/29-2099.06","29-2099.06 - Radiologic Technicians","Health Science","Diagnostic Services","29-2099.00","Health Technologists and Technicians, All Other","https://www.onetonline.org/link/details/29-2099.06"
