url,career_cluster,career_pathway,SOC,job_title,title,Artistic,Conventional,Enterprising,Investigative,Realistic,Social,income,csm.Title,csm.O.NET.SOC.Code,csm.degree,csm.closeness,csm.betweenness,ccm.Title,ccm.O.NET.SOC.Code,ccm.degree,ccm.closeness,ccm.betweenness
https://www.onetonline.org/link/details/11-3061.00,Business Management & Administration,Operations Management,11-3061.00,Purchasing Managers,11-3061.00 - Purchasing Managers,6,72,100,17,28,28,111590,Purchasing Managers,11-3061.00,19,0.000289101,406.079153,Purchasing Managers,11-3061.00,19,0.000293945,2056.617137
https://www.onetonline.org/link/details/11-3071.01,"Transportation, Distribution & Logistics",Logistics Planning and Management Services,11-3071.00,"Transportation, Storage, and Distribution Managers",11-3071.01 - Transportation Managers,11,72,100,17,28,17,89190,Transportation Managers,11-3071.01,23,0.000289603,1392.740587,Transportation Managers,11-3071.01,16,0.000290529,1357.75652
https://www.onetonline.org/link/details/11-3071.01,"Transportation, Distribution & Logistics",Logistics Planning and Management Services,11-3071.01,Transportation Managers,11-3071.01 - Transportation Managers,11,72,100,17,28,17,89190,Transportation Managers,11-3071.01,23,0.000289603,1392.740587,Transportation Managers,11-3071.01,16,0.000290529,1357.75652
https://www.onetonline.org/link/details/11-3071.02,"Transportation, Distribution & Logistics",Logistics Planning and Management Services,11-3071.02,Storage and Distribution Managers,11-3071.02 - Storage and Distribution Managers,0,67,100,0,39,22,89190,Storage and Distribution Managers,11-3071.02,11,0.00029577,478.0403077,Storage and Distribution Managers,11-3071.02,12,0.000310945,2188.578463
https://www.onetonline.org/link/details/11-3071.02,"Transportation, Distribution & Logistics",Logistics Planning and Management Services,11-3071.00,"Transportation, Storage, and Distribution Managers",11-3071.02 - Storage and Distribution Managers,0,67,100,0,39,22,89190,Storage and Distribution Managers,11-3071.02,11,0.00029577,478.0403077,Storage and Distribution Managers,11-3071.02,12,0.000310945,2188.578463
https://www.onetonline.org/link/details/11-3071.03,"Transportation, Distribution & Logistics",Logistics Planning and Management Services,11-3071.03,Logistics Managers,11-3071.03 - Logistics Managers,6,72,100,17,33,6,89190,Logistics Managers,11-3071.03,15,0.000290613,398.9265353,Logistics Managers,11-3071.03,25,0.000314663,8517.999367
https://www.onetonline.org/link/details/11-3071.03,"Transportation, Distribution & Logistics",Logistics Planning and Management Services,11-3071.00,"Transportation, Storage, and Distribution Managers",11-3071.03 - Logistics Managers,6,72,100,17,33,6,89190,Logistics Managers,11-3071.03,15,0.000290613,398.9265353,Logistics Managers,11-3071.03,25,0.000314663,8517.999367
https://www.onetonline.org/link/details/11-3111.00,Business Management & Administration,Human Resources Management,11-3111.00,Compensation and Benefits Managers,11-3111.00 - Compensation and Benefits Managers,11,72,100,6,0,61,116240,Compensation and Benefits Managers,11-3111.00,10,0.000262605,47.52733379,Compensation and Benefits Managers,11-3111.00,15,0.000253807,170.1093185
https://www.onetonline.org/link/details/11-3121.00,Business Management & Administration,Human Resources Management,11-3121.00,Human Resources Managers,11-3121.00 - Human Resources Managers,22,67,100,22,6,78,106910,Human Resources Managers,11-3121.00,23,0.00027972,1379.242911,Human Resources Managers,11-3121.00,21,0.000288268,1894.047048
https://www.onetonline.org/link/details/11-3131.00,Business Management & Administration,Human Resources Management,11-3131.00,Training and Development Managers,11-3131.00 - Training and Development Managers,45,50,100,17,6,83,105830,Training and Development Managers,11-3131.00,24,0.00027137,688.1752998,Training and Development Managers,11-3131.00,19,0.000297442,2857.628599
